2021, 21300.0, 92000.0, 20000.0, 93300.0, 1660.74, 0.21, U-07-68, False, True, 1.78, 7908.285714285715
662, 42000.0, 42800.0, 0.0, 84800.0, 1509.44, 6.0, R-16-05.1, False, False, 1.78, 251.57333333333335
237, 0.0, 65500.0, 0.0, 65500.0, 1165.9, 0, U-07-40-ON1, False, False, 1.78, 0.0
1735, 101000.0, 29000.0, 0.0, 130000.0, 2314.0, 0.98, U-05-01.1, False, False, 1.78, 2361.2244897959185
258, 27600.0, 56400.0, 20000.0, 64000.0, 1139.2, 0.5, R-04-45, False, True, 1.78, 2278.4
1313, 52000.0, 138400.0, 20000.0, 170400.0, 3033.12, 9.5, R-06-01, False, True, 1.78, 319.2757894736842
2550, 2500.0, 0.0, 0.0, 2500.0, 44.5, 2.47, U-20-13.1, False, False, 1.78, 18.016194331983804
272, 35000.0, 65400.0, 20000.0, 80400.0, 1431.12, 1.0, R-01-01, False, True, 1.78, 1431.12
265, 25500.0, 78400.0, 20000.0, 83900.0, 1493.42, 0.39, U-18-13, False, True, 1.78, 3829.2820512820513
1156, 14400.0, 0.0, 0.0, 14400.0, 256.32, 0.34, U-07-69, False, False, 1.78, 753.8823529411764
288, 32000.0, 17700.0, 20000.0, 29700.0, 528.66, 1.0, R-13-18.1, False, True, 1.78, 528.66
1401, 20500.0, 0.0, 0.0, 20500.0, 364.9, 2.0, R-04-76, False, False, 1.78, 182.45
297, 80000.0, 119200.0, 0.0, 199200.0, 3545.76, 39.0, R-04-01, True, False, 1.78, 90.91692307692308
138, 27700.0, 87900.0, 0.0, 115600.0, 2057.68, 0.58, U-16-16, False, False, 1.78, 3547.7241379310344
721, 38600.0, 0.0, 0.0, 38600.0, 687.08, 2.78, R-13-43.9C, False, False, 1.78, 247.15107913669067
1464, 35800.0, 99700.0, 20000.0, 115500.0, 2055.9, 1.4, R-04-19, False, True, 1.78, 1468.5000000000002
999, 21300.0, 112600.0, 20000.0, 113900.0, 2027.42, 0.21, U-07-54, False, True, 1.78, 9654.380952380952
